filename|oai_dc:dc.dc:description.0|oai_dc:dc.dc:description.1|oai_dc:dc.dc:subject.0|oai_dc:dc.dc:subject.1|oai_dc:dc.dc:subject.10|oai_dc:dc.dc:subject.11|oai_dc:dc.dc:subject.12|oai_dc:dc.dc:subject.2|oai_dc:dc.dc:subject.3|oai_dc:dc.dc:subject.4|oai_dc:dc.dc:subject.5|oai_dc:dc.dc:subject.6|oai_dc:dc.dc:subject.7|oai_dc:dc.dc:subject.8|oai_dc:dc.dc:subject.9|oai_dc:dc@xmlns:dc|oai_dc:dc@xmlns:oai_dc|oai_dc:dc@xmlns:xsi|oai_dc:dc@xsi:schemaLocation|oai_dc:dcdc:coverage|oai_dc:dcdc:creator|oai_dc:dcdc:date|oai_dc:dcdc:format|oai_dc:dcdc:identifier|oai_dc:dcdc:publisher|oai_dc:dcdc:relation|oai_dc:dcdc:rights|oai_dc:dcdc:source|oai_dc:dcdc:subject|oai_dc:dcdc:title|oai_dc:dcdc:type
ROTH0887.xml|Document ID: roth0887|Photograph taken with a 3A Autographic Kodak folding camera.|Chimney Tops|Great Smoky Mountains|    |    |    |Landscapes and Scenery|People and Groups|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|Chimney Tops|Albert Gordon (Dutch) Roth, 1890-1974|    |Image/jpeg|http://idserver.utk.edu/?id=200300000002655|Great Smoky Mountains Regional Project, The University of Tennessee Libraries, Knoxville Tennessee|Roth Photograph Collection: http://idserver.utk.edu/?id=200300000001770|Digital Image Copyright (c) 2003. The University of Tennessee Libraries. All Rights Reserved. For permission to use, contact: Great Smoky Mountains Regional Project, The University of Tennessee Libraries, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000, (865) 974-2359. Copyright, Albert Roth. All Rights Reserved.|"Scanned from 4""x 6"" negative."|    |No Original Caption|Image
ROTH0139.xml|Document ID: roth0139|Photograph taken with a 3A Autographic Kodak folding camera.|Hangover Mountain|Frisbee mill|    |    |    |Jane Harrell Bailey|Structures -- Mills|Waterways and Bodies of Water|    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|Hangover Mountain; Frisbee mill|Albert Gordon (Dutch) Roth, 1890-1974|1935-04-07|Image/jpeg|http://idserver.utk.edu/?id=200300000001909|Great Smoky Mountains Regional Project, The University of Tennessee Libraries, Knoxville Tennessee|Roth Photograph Collection: http://idserver.utk.edu/?id=200300000001770|Digital Image Copyright (c) 2003. The University of Tennessee Libraries. All Rights Reserved. For permission to use, contact: Great Smoky Mountains Regional Project, The University of Tennessee Libraries, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000, (865) 974-2359. Copyright 1935 Albert Roth. All Rights Reserved.|"Scanned from 4""x 6"" negative."|    |"""Mill along trail to Hangover. Jane Harrell Bailey is the little native boy. The mill is owned by Mr. Frisbee."""|Image
ROTH0111.xml|Document ID: roth0111|Photograph taken with a 3A Autographic Kodak folding camera.|Little River Railroad|Mary Frances Roth|    |    |    |Great Smoky Mountains|Structures -- General|Transportation|    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|Little River Railroad|Albert Gordon (Dutch) Roth, 1890-1974|1920s|Image/jpeg|http://idserver.utk.edu/?id=200300000001881|Great Smoky Mountains Regional Project, The University of Tennessee Libraries, Knoxville Tennessee|Roth Photograph Collection: http://idserver.utk.edu/?id=200300000001770|Digital Image Copyright (c) 2003. The University of Tennessee Libraries. All Rights Reserved. For permission to use, contact: Great Smoky Mountains Regional Project, The University of Tennessee Libraries, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000, (865) 974-2359. Copyright, Albert Roth. All Rights Reserved.|"Scanned from 4""x 6"" negative."|    |"""Mary Frances Roth in cab of old logging train. Little River Company in the 1920's or 1930's."""|Image
ROTH0677.xml|Document ID: roth0677|Photograph taken with a 3A Autographic Kodak folding camera.|Richland Mountain|Great Smoky Mountains|    |    |    |Landscapes and Scenery|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|Richland Mountain|Albert Gordon (Dutch) Roth, 1890-1974|1939-05-21|Image/jpeg|http://idserver.utk.edu/?id=200300000002446|Great Smoky Mountains Regional Project, The University of Tennessee Libraries, Knoxville Tennessee|Roth Photograph Collection: http://idserver.utk.edu/?id=200300000001770|Digital Image Copyright (c) 2003. The University of Tennessee Libraries. All Rights Reserved. For permission to use, contact: Great Smoky Mountains Regional Project, The University of Tennessee Libraries, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000, (865) 974-2359. Copyright 1939, Albert Roth. All Rights Reserved.|"Scanned from 4""x 6"" negative."|    |"""From road on the way to Richland Balsam hike."""|Image
ROTH0663.xml|Document ID: roth0663|Photograph taken with a 3A Autographic Kodak folding camera.|White Rock|Mount Cammerer|    |    |    |"Charles Albert ""Sonny"" Roth"|Great Smoky Mountains|Landscapes and Scenery|People and Groups|    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|White Rock; Mount Cammerer|Albert Gordon (Dutch) Roth, 1890-1974|1935-11-10|Image/jpeg|http://idserver.utk.edu/?id=200300000002432|Great Smoky Mountains Regional Project, The University of Tennessee Libraries, Knoxville Tennessee|Roth Photograph Collection: http://idserver.utk.edu/?id=200300000001770|Digital Image Copyright (c) 2003. The University of Tennessee Libraries. All Rights Reserved. For permission to use, contact: Great Smoky Mountains Regional Project, The University of Tennessee Libraries, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000, (865) 974-2359. Copyright 1935 Albert Roth. All Rights Reserved.|"Scanned from 4""x 6"" negative."|    |"""Charles Albert ""Sonny"" Roth on trail near White Rock."""|Image
ROTH0105.xml|Document ID: roth0105|Photograph taken with a 3A Autographic Kodak folding camera.|Little Duck Hawk Peak|Great Smoky Mountains|    |    |    |Landscapes and Scenery|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|Little Duck Hawk Peak|Albert Gordon (Dutch) Roth, 1890-1974|1932-01-31|Image/jpeg|http://idserver.utk.edu/?id=200300000001875|Great Smoky Mountains Regional Project, The University of Tennessee Libraries, Knoxville Tennessee|Roth Photograph Collection: http://idserver.utk.edu/?id=200300000001770|Digital Image Copyright (c) 2003. The University of Tennessee Libraries. All Rights Reserved. For permission to use, contact: Great Smoky Mountains Regional Project, The University of Tennessee Libraries, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000, (865) 974-2359. Copyright 1932 Albert Roth. All Rights Reserved.|"Scanned from 4""x 6"" negative."|    |"""The hole in Rock Mountain."""|Image
ROTH0059.xml|Document ID: roth0059|Photograph taken with a 3A Autographic Kodak folding camera.|Little Greenbrier School|Little Greenbrier Cemetery|    |    |    |Great Smoky Mountains|Structures -- General|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|Little Greenbrier School; Little Greenbrier Cemetery|Albert Gordon (Dutch) Roth, 1890-1974|1952-10-11|Image/jpeg|http://idserver.utk.edu/?id=200300000001829|Great Smoky Mountains Regional Project, The University of Tennessee Libraries, Knoxville Tennessee|Roth Photograph Collection: http://idserver.utk.edu/?id=200300000001770|Digital Image Copyright (c) 2003. The University of Tennessee Libraries. All Rights Reserved. For permission to use, contact: Great Smoky Mountains Regional Project, The University of Tennessee Libraries, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000, (865) 974-2359. Copyright 1952 Albert Roth. All Rights Reserved.|"Scanned from 4""x 6"" negative."|    |"""The old school building built in 1882. The old graveyard is in the foreground."""|Image
ROTH0065.xml|Document ID: roth0065|Photograph taken with a 3A Autographic Kodak folding camera.|DuPont Springs|Chilhowee Mountain|    |    |    |Structures -- Cabins|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|DuPont Springs; Chilhowee Mountain|Albert Gordon (Dutch) Roth, 1890-1974|1936-02-23|Image/jpeg|http://idserver.utk.edu/?id=200300000001835|Great Smoky Mountains Regional Project, The University of Tennessee Libraries, Knoxville Tennessee|Roth Photograph Collection: http://idserver.utk.edu/?id=200300000001770|Digital Image Copyright (c) 2003. The University of Tennessee Libraries. All Rights Reserved. For permission to use, contact: Great Smoky Mountains Regional Project, The University of Tennessee Libraries, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000, (865) 974-2359. Copyright 1936, Albert Roth. All Rights Reserved.|"Scanned from 4""x 6"" negative."|    |"""Cabin along the trail to DuPont Springs."""|Image
ROTH0703.xml|Document ID: roth0703|Photograph taken with a 3A Autographic Kodak folding camera.|Mount Mitchell tower|Great Smoky Mountains|    |    |    |Landscapes and Scenery|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|Mount Mitchell tower|Albert Gordon (Dutch) Roth, 1890-1974|1931-05-30|Image/jpeg|http://idserver.utk.edu/?id=200300000002472|Great Smoky Mountains Regional Project, The University of Tennessee Libraries, Knoxville Tennessee|Roth Photograph Collection: http://idserver.utk.edu/?id=200300000001770|Digital Image Copyright (c) 2003. The University of Tennessee Libraries. All Rights Reserved. For permission to use, contact: Great Smoky Mountains Regional Project, The University of Tennessee Libraries, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000, (865) 974-2359. Copyright 1931, Albert Roth. All Rights Reserved.|"Scanned from 4""x 6"" negative."|    |"""Looking east from tower on Mount Mitchell."""|Image
ROTH0717.xml|Document ID: roth0717|Photograph taken with a 3A Autographic Kodak folding camera.|Indian Gap|Clingmans Dome|    |    |    |Mary Frances Roth|Great Smoky Mountains|Flora and Fauna|People and Groups|    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|Indian Gap; Clingmans Dome|Albert Gordon (Dutch) Roth, 1890-1974|1937-07-12|Image/jpeg|http://idserver.utk.edu/?id=200300000002486|Great Smoky Mountains Regional Project, The University of Tennessee Libraries, Knoxville Tennessee|Roth Photograph Collection: http://idserver.utk.edu/?id=200300000001770|Digital Image Copyright (c) 2003. The University of Tennessee Libraries. All Rights Reserved. For permission to use, contact: Great Smoky Mountains Regional Project, The University of Tennessee Libraries, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000, (865) 974-2359. Copyright 1937, Albert Roth. All Rights Reserved.|"Scanned from 4""x 6"" negative."|    |"""Mary Frances Roth in tree between Indian Gap and Clingmans Dome."""|Image
ROTH0071.xml|Document ID: roth0071|Photograph taken with a 3A Autographic Kodak folding camera.|Emerts Cove|Pittman Center|    |    |    |Great Smoky Mountains|Structures -- Barns|Structures -- Mills|    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|Emerts Cove; Pittman Center|Albert Gordon (Dutch) Roth, 1890-1974|1940-08-04|Image/jpeg|http://idserver.utk.edu/?id=200300000001841|Great Smoky Mountains Regional Project, The University of Tennessee Libraries, Knoxville Tennessee|Roth Photograph Collection: http://idserver.utk.edu/?id=200300000001770|Digital Image Copyright (c) 2003. The University of Tennessee Libraries. All Rights Reserved. For permission to use, contact: Great Smoky Mountains Regional Project, The University of Tennessee Libraries, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000, (865) 974-2359. Copyright 1940 Albert Roth. All Rights Reserved.|"Scanned from 4""x 6"" negative."|    |"""Old barn and mill above Pittman Center."""|Image
ROTH0298.xml|Document ID: roth0298|Photograph taken with a 3A Autographic Kodak folding camera.|Greenbrier Cove|Smoky Mountains Hiking Club barn hotel|    |    |    |Porters Flat|Smoky Mountains Hiking Club cabin|Messer Barn|Great Smoky Mountains|Structures -- Barns|Structures -- Cabins|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|Greenbrier Cove; Smoky Mountains Hiking Club barn hotel; Porters Flat; Smoky Mountains Hiking Club cabin; Messer Barn|Albert Gordon (Dutch) Roth, 1890-1974|1948-04-11|Image/jpeg|http://idserver.utk.edu/?id=200300000002067|Great Smoky Mountains Regional Project, The University of Tennessee Libraries, Knoxville Tennessee|Roth Photograph Collection: http://idserver.utk.edu/?id=200300000001770|Digital Image Copyright (c) 2003. The University of Tennessee Libraries. All Rights Reserved. For permission to use, contact: Great Smoky Mountains Regional Project, The University of Tennessee Libraries, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000, (865) 974-2359. Copyright 1948 Albert Roth. All Rights Reserved.|"Scanned from 4""x 6"" negative."|    |"""Smoky Mountains Hiking Club barn hotel at Club cabin."""|Image
ROTH0529.xml|Document ID: roth0529|Photograph taken with a 3A Autographic Kodak folding camera.|Sand Cave|"Charles Albert ""Sonny"" Roth"|    |    |    |Landscapes and Scenery|People and Groups|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|Sand Cave|Albert Gordon (Dutch) Roth, 1890-1974|    |Image/jpeg|http://idserver.utk.edu/?id=200300000002298|Great Smoky Mountains Regional Project, The University of Tennessee Libraries, Knoxville Tennessee|Roth Photograph Collection: http://idserver.utk.edu/?id=200300000001770|Digital Image Copyright (c) 2003. The University of Tennessee Libraries. All Rights Reserved. For permission to use, contact: Great Smoky Mountains Regional Project, The University of Tennessee Libraries, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000, (865) 974-2359. Copyright, Albert Roth. All Rights Reserved.|"Scanned from 4""x 6"" negative."|    |"""Charles Albert ""Sonny"" Roth in Sand Cave in Kentucky."""|Image
